failure rate	min sdk	api level	year	api's year	api-year	api-min
0	0	19	2010	2013	3	19
0	1	19	2010	2013	3	18
0	2	19	2010	2013	3	17
0	3	19	2010	2013	3	16
0	4	19	2010	2013	3	15
0	5	19	2010	2013	3	14
0	6	19	2010	2013	3	13
0	7	19	2010	2013	3	12
0	8	19	2010	2013	3	11
0	9	19	2010	2013	3	10
0	10	19	2010	2013	3	9
0	11	19	2010	2013	3	8
0	12	19	2010	2013	3	7
0	13	19	2010	2013	3	6
0	14	19	2010	2013	3	5
0	15	19	2010	2013	3	4
0	16	19	2010	2013	3	3
0	17	19	2010	2013	3	2
0	18	19	2010	2013	3	1
0	19	19	2010	2013	3	0
0	20	19	2010	2013	3	-1
0	21	19	2010	2013	3	-2
0	22	19	2010	2013	3	-3
0	23	19	2010	2013	3	-4
0	24	19	2010	2013	3	-5
0	25	19	2010	2013	3	-6
0	26	19	2010	2013	3	-7
0	27	19	2010	2013	3	-8
0	28	19	2010	2013	3	-9
0	29	19	2010	2013	3	-10
0	0	19	2011	2013	2	19
0	1	19	2011	2013	2	18
0	2	19	2011	2013	2	17
0	3	19	2011	2013	2	16
0	4	19	2011	2013	2	15
0	5	19	2011	2013	2	14
0	6	19	2011	2013	2	13
0	7	19	2011	2013	2	12
0	8	19	2011	2013	2	11
0	9	19	2011	2013	2	10
0	10	19	2011	2013	2	9
0	11	19	2011	2013	2	8
0	12	19	2011	2013	2	7
0	13	19	2011	2013	2	6
0	14	19	2011	2013	2	5
0	15	19	2011	2013	2	4
0	16	19	2011	2013	2	3
0	17	19	2011	2013	2	2
0	18	19	2011	2013	2	1
0	19	19	2011	2013	2	0
0	20	19	2011	2013	2	-1
0	21	19	2011	2013	2	-2
0	22	19	2011	2013	2	-3
0	23	19	2011	2013	2	-4
0	24	19	2011	2013	2	-5
0	25	19	2011	2013	2	-6
0	26	19	2011	2013	2	-7
0	27	19	2011	2013	2	-8
0	28	19	2011	2013	2	-9
0	29	19	2011	2013	2	-10
0	0	19	2012	2013	1	19
0	1	19	2012	2013	1	18
0	2	19	2012	2013	1	17
0	3	19	2012	2013	1	16
0	4	19	2012	2013	1	15
0	5	19	2012	2013	1	14
0	6	19	2012	2013	1	13
0	7	19	2012	2013	1	12
0	8	19	2012	2013	1	11
0	9	19	2012	2013	1	10
0	10	19	2012	2013	1	9
0	11	19	2012	2013	1	8
0	12	19	2012	2013	1	7
0	13	19	2012	2013	1	6
0	14	19	2012	2013	1	5
0	15	19	2012	2013	1	4
0	16	19	2012	2013	1	3
0	17	19	2012	2013	1	2
0	18	19	2012	2013	1	1
0	19	19	2012	2013	1	0
0	20	19	2012	2013	1	-1
0	21	19	2012	2013	1	-2
0	22	19	2012	2013	1	-3
0	23	19	2012	2013	1	-4
0	24	19	2012	2013	1	-5
0	25	19	2012	2013	1	-6
0	26	19	2012	2013	1	-7
0	27	19	2012	2013	1	-8
0	28	19	2012	2013	1	-9
0	29	19	2012	2013	1	-10
0	0	19	2013	2013	0	19
0	1	19	2013	2013	0	18
0	2	19	2013	2013	0	17
0	3	19	2013	2013	0	16
0	4	19	2013	2013	0	15
0	5	19	2013	2013	0	14
0	6	19	2013	2013	0	13
0	7	19	2013	2013	0	12
0	8	19	2013	2013	0	11
0	9	19	2013	2013	0	10
0	10	19	2013	2013	0	9
0	11	19	2013	2013	0	8
0	12	19	2013	2013	0	7
0	13	19	2013	2013	0	6
0	14	19	2013	2013	0	5
0	15	19	2013	2013	0	4
0	16	19	2013	2013	0	3
0	17	19	2013	2013	0	2
0	18	19	2013	2013	0	1
0	19	19	2013	2013	0	0
0	20	19	2013	2013	0	-1
0	21	19	2013	2013	0	-2
0	22	19	2013	2013	0	-3
0	23	19	2013	2013	0	-4
0	24	19	2013	2013	0	-5
0	25	19	2013	2013	0	-6
0	26	19	2013	2013	0	-7
0	27	19	2013	2013	0	-8
0	28	19	2013	2013	0	-9
0	29	19	2013	2013	0	-10
0	0	19	2014	2013	-1	19
0	1	19	2014	2013	-1	18
0	2	19	2014	2013	-1	17
0	3	19	2014	2013	-1	16
0	4	19	2014	2013	-1	15
0	5	19	2014	2013	-1	14
0	6	19	2014	2013	-1	13
0	7	19	2014	2013	-1	12
0	8	19	2014	2013	-1	11
0	9	19	2014	2013	-1	10
0	10	19	2014	2013	-1	9
0	11	19	2014	2013	-1	8
0	12	19	2014	2013	-1	7
0	13	19	2014	2013	-1	6
0	14	19	2014	2013	-1	5
0	15	19	2014	2013	-1	4
0	16	19	2014	2013	-1	3
0	17	19	2014	2013	-1	2
0	18	19	2014	2013	-1	1
0	19	19	2014	2013	-1	0
0	20	19	2014	2013	-1	-1
0	21	19	2014	2013	-1	-2
0	22	19	2014	2013	-1	-3
0	23	19	2014	2013	-1	-4
0	24	19	2014	2013	-1	-5
0	25	19	2014	2013	-1	-6
0	26	19	2014	2013	-1	-7
0	27	19	2014	2013	-1	-8
0	28	19	2014	2013	-1	-9
0	29	19	2014	2013	-1	-10
0	0	19	2015	2013	-2	19
0	1	19	2015	2013	-2	18
0	2	19	2015	2013	-2	17
0	3	19	2015	2013	-2	16
0	4	19	2015	2013	-2	15
0	5	19	2015	2013	-2	14
0	6	19	2015	2013	-2	13
0	7	19	2015	2013	-2	12
0	8	19	2015	2013	-2	11
0	9	19	2015	2013	-2	10
0	10	19	2015	2013	-2	9
0	11	19	2015	2013	-2	8
0	12	19	2015	2013	-2	7
0	13	19	2015	2013	-2	6
0	14	19	2015	2013	-2	5
0	15	19	2015	2013	-2	4
0	16	19	2015	2013	-2	3
0	17	19	2015	2013	-2	2
0	18	19	2015	2013	-2	1
0	19	19	2015	2013	-2	0
0	20	19	2015	2013	-2	-1
0	21	19	2015	2013	-2	-2
0	22	19	2015	2013	-2	-3
0	23	19	2015	2013	-2	-4
0	24	19	2015	2013	-2	-5
0	25	19	2015	2013	-2	-6
0	26	19	2015	2013	-2	-7
0	27	19	2015	2013	-2	-8
0	28	19	2015	2013	-2	-9
0	29	19	2015	2013	-2	-10
0	0	19	2016	2013	-3	19
0	1	19	2016	2013	-3	18
0	2	19	2016	2013	-3	17
0	3	19	2016	2013	-3	16
0	4	19	2016	2013	-3	15
0	5	19	2016	2013	-3	14
0	6	19	2016	2013	-3	13
0	7	19	2016	2013	-3	12
0	8	19	2016	2013	-3	11
0	9	19	2016	2013	-3	10
0	10	19	2016	2013	-3	9
0	11	19	2016	2013	-3	8
0	12	19	2016	2013	-3	7
0	13	19	2016	2013	-3	6
0	14	19	2016	2013	-3	5
0	15	19	2016	2013	-3	4
0	16	19	2016	2013	-3	3
0	17	19	2016	2013	-3	2
0	18	19	2016	2013	-3	1
0	19	19	2016	2013	-3	0
0	20	19	2016	2013	-3	-1
0	21	19	2016	2013	-3	-2
0	22	19	2016	2013	-3	-3
0	23	19	2016	2013	-3	-4
0	24	19	2016	2013	-3	-5
0	25	19	2016	2013	-3	-6
0	26	19	2016	2013	-3	-7
0	27	19	2016	2013	-3	-8
0	28	19	2016	2013	-3	-9
0	29	19	2016	2013	-3	-10
0	0	19	2017	2013	-4	19
0	1	19	2017	2013	-4	18
0	2	19	2017	2013	-4	17
0	3	19	2017	2013	-4	16
0	4	19	2017	2013	-4	15
0	5	19	2017	2013	-4	14
0	6	19	2017	2013	-4	13
0	7	19	2017	2013	-4	12
0	8	19	2017	2013	-4	11
0	9	19	2017	2013	-4	10
0	10	19	2017	2013	-4	9
0	11	19	2017	2013	-4	8
0	12	19	2017	2013	-4	7
0	13	19	2017	2013	-4	6
0	14	19	2017	2013	-4	5
0	15	19	2017	2013	-4	4
0	16	19	2017	2013	-4	3
0	17	19	2017	2013	-4	2
0	18	19	2017	2013	-4	1
0	19	19	2017	2013	-4	0
0	20	19	2017	2013	-4	-1
0	21	19	2017	2013	-4	-2
0	22	19	2017	2013	-4	-3
0	23	19	2017	2013	-4	-4
0	24	19	2017	2013	-4	-5
0	25	19	2017	2013	-4	-6
0	26	19	2017	2013	-4	-7
0	27	19	2017	2013	-4	-8
0	28	19	2017	2013	-4	-9
0	29	19	2017	2013	-4	-10
0	0	19	2018	2013	-5	19
0	1	19	2018	2013	-5	18
0	2	19	2018	2013	-5	17
0	3	19	2018	2013	-5	16
0	4	19	2018	2013	-5	15
0	5	19	2018	2013	-5	14
0	6	19	2018	2013	-5	13
0	7	19	2018	2013	-5	12
0	8	19	2018	2013	-5	11
0	9	19	2018	2013	-5	10
0	10	19	2018	2013	-5	9
0	11	19	2018	2013	-5	8
0	12	19	2018	2013	-5	7
0	13	19	2018	2013	-5	6
0	14	19	2018	2013	-5	5
0	15	19	2018	2013	-5	4
0	16	19	2018	2013	-5	3
0	17	19	2018	2013	-5	2
0	18	19	2018	2013	-5	1
0	19	19	2018	2013	-5	0
0	20	19	2018	2013	-5	-1
0	21	19	2018	2013	-5	-2
0	22	19	2018	2013	-5	-3
0	23	19	2018	2013	-5	-4
0	24	19	2018	2013	-5	-5
0	25	19	2018	2013	-5	-6
0	26	19	2018	2013	-5	-7
0	27	19	2018	2013	-5	-8
0	28	19	2018	2013	-5	-9
0	29	19	2018	2013	-5	-10
0	0	19	2019	2013	-6	19
0	1	19	2019	2013	-6	18
0	2	19	2019	2013	-6	17
0	3	19	2019	2013	-6	16
0	4	19	2019	2013	-6	15
0	5	19	2019	2013	-6	14
0	6	19	2019	2013	-6	13
0	7	19	2019	2013	-6	12
0	8	19	2019	2013	-6	11
0	9	19	2019	2013	-6	10
0	10	19	2019	2013	-6	9
0	11	19	2019	2013	-6	8
0	12	19	2019	2013	-6	7
0	13	19	2019	2013	-6	6
0	14	19	2019	2013	-6	5
0	15	19	2019	2013	-6	4
0	16	19	2019	2013	-6	3
0	17	19	2019	2013	-6	2
0	18	19	2019	2013	-6	1
0	19	19	2019	2013	-6	0
0	20	19	2019	2013	-6	-1
0	21	19	2019	2013	-6	-2
0	22	19	2019	2013	-6	-3
0	23	19	2019	2013	-6	-4
0	24	19	2019	2013	-6	-5
0	25	19	2019	2013	-6	-6
0	26	19	2019	2013	-6	-7
0	27	19	2019	2013	-6	-8
0	28	19	2019	2013	-6	-9
0	29	19	2019	2013	-6	-10
0	0	19	2020	2013	-7	19
0	1	19	2020	2013	-7	18
0	2	19	2020	2013	-7	17
0	3	19	2020	2013	-7	16
0	4	19	2020	2013	-7	15
0	5	19	2020	2013	-7	14
0	6	19	2020	2013	-7	13
0	7	19	2020	2013	-7	12
0	8	19	2020	2013	-7	11
0	9	19	2020	2013	-7	10
0	10	19	2020	2013	-7	9
0	11	19	2020	2013	-7	8
0	12	19	2020	2013	-7	7
0	13	19	2020	2013	-7	6
0	14	19	2020	2013	-7	5
0	15	19	2020	2013	-7	4
0	16	19	2020	2013	-7	3
0	17	19	2020	2013	-7	2
0	18	19	2020	2013	-7	1
0	19	19	2020	2013	-7	0
0	20	19	2020	2013	-7	-1
0	21	19	2020	2013	-7	-2
0	22	19	2020	2013	-7	-3
0	23	19	2020	2013	-7	-4
0	24	19	2020	2013	-7	-5
0	25	19	2020	2013	-7	-6
0	26	19	2020	2013	-7	-7
0	27	19	2020	2013	-7	-8
0	28	19	2020	2013	-7	-9
0	29	19	2020	2013	-7	-10
0	0	19	2021	2013	-8	19
0	1	19	2021	2013	-8	18
0	2	19	2021	2013	-8	17
0	3	19	2021	2013	-8	16
0	4	19	2021	2013	-8	15
0	5	19	2021	2013	-8	14
0	6	19	2021	2013	-8	13
0	7	19	2021	2013	-8	12
0	8	19	2021	2013	-8	11
0	9	19	2021	2013	-8	10
0	10	19	2021	2013	-8	9
0	11	19	2021	2013	-8	8
0	12	19	2021	2013	-8	7
0	13	19	2021	2013	-8	6
0	14	19	2021	2013	-8	5
0	15	19	2021	2013	-8	4
0	16	19	2021	2013	-8	3
0	17	19	2021	2013	-8	2
0	18	19	2021	2013	-8	1
0	19	19	2021	2013	-8	0
0	20	19	2021	2013	-8	-1
0	21	19	2021	2013	-8	-2
0	22	19	2021	2013	-8	-3
0	23	19	2021	2013	-8	-4
0	24	19	2021	2013	-8	-5
0	25	19	2021	2013	-8	-6
0	26	19	2021	2013	-8	-7
0	27	19	2021	2013	-8	-8
0	28	19	2021	2013	-8	-9
0	29	19	2021	2013	-8	-10
0.006776379477250726	0	21	2010	2014	4	21
0.021297192642787996	1	21	2010	2014	4	20
0.001936108422071636	2	21	2010	2014	4	19
0.4259438528557599	3	21	2010	2014	4	18
0.19070667957405615	4	21	2010	2014	4	17
0.03872216844143272	5	21	2010	2014	4	16
0.010648596321393998	6	21	2010	2014	4	15
0.0755082284607938	7	21	2010	2014	4	14
0.20522749273959343	8	21	2010	2014	4	13
0.005808325266214908	9	21	2010	2014	4	12
0.003872216844143272	10	21	2010	2014	4	11
0.000968054211035818	11	21	2010	2014	4	10
0.0	12	21	2010	2014	4	9
0.0	13	21	2010	2014	4	8
0.008712487899322363	14	21	2010	2014	4	7
0.000968054211035818	15	21	2010	2014	4	6
0.0	16	21	2010	2014	4	5
0.0	17	21	2010	2014	4	4
0.0	18	21	2010	2014	4	3
0.001936108422071636	19	21	2010	2014	4	2
0.0	20	21	2010	2014	4	1
0.0	21	21	2010	2014	4	0
0.0	22	21	2010	2014	4	-1
0.0	23	21	2010	2014	4	-2
0.0	24	21	2010	2014	4	-3
0.0	25	21	2010	2014	4	-4
0.0	26	21	2010	2014	4	-5
0.0	27	21	2010	2014	4	-6
0.000968054211035818	28	21	2010	2014	4	-7
0.0	29	21	2010	2014	4	-8
0.006711409395973154	0	21	2011	2014	3	21
0.0011185682326621924	1	21	2011	2014	3	20
0.0022371364653243847	2	21	2011	2014	3	19
0.10850111856823266	3	21	2011	2014	3	18
0.21252796420581654	4	21	2011	2014	3	17
0.058165548098434	5	21	2011	2014	3	16
0.011185682326621925	6	21	2011	2014	3	15
0.2371364653243848	7	21	2011	2014	3	14
0.33109619686800895	8	21	2011	2014	3	13
0.012304250559284116	9	21	2011	2014	3	12
0.0044742729306487695	10	21	2011	2014	3	11
0.0011185682326621924	11	21	2011	2014	3	10
0.0	12	21	2011	2014	3	9
0.0	13	21	2011	2014	3	8
0.0011185682326621924	14	21	2011	2014	3	7
0.0011185682326621924	15	21	2011	2014	3	6
0.006711409395973154	16	21	2011	2014	3	5
0.0	17	21	2011	2014	3	4
0.0	18	21	2011	2014	3	3
0.0022371364653243847	19	21	2011	2014	3	2
0.0	20	21	2011	2014	3	1
0.0	21	21	2011	2014	3	0
0.0	22	21	2011	2014	3	-1
0.0011185682326621924	23	21	2011	2014	3	-2
0.0	24	21	2011	2014	3	-3
0.0	25	21	2011	2014	3	-4
0.0	26	21	2011	2014	3	-5
0.0011185682326621924	27	21	2011	2014	3	-6
0.0	28	21	2011	2014	3	-7
0.0	29	21	2011	2014	3	-8
0.0019946808510638296	0	21	2012	2014	2	21
0.0019946808510638296	1	21	2012	2014	2	20
0.0013297872340425532	2	21	2012	2014	2	19
0.04454787234042553	3	21	2012	2014	2	18
0.16888297872340424	4	21	2012	2014	2	17
0.03922872340425532	5	21	2012	2014	2	16
0.006648936170212766	6	21	2012	2014	2	15
0.27194148936170215	7	21	2012	2014	2	14
0.42819148936170215	8	21	2012	2014	2	13
0.013962765957446808	9	21	2012	2014	2	12
0.017287234042553192	10	21	2012	2014	2	11
0.0013297872340425532	11	21	2012	2014	2	10
0.0006648936170212766	12	21	2012	2014	2	9
0.0	13	21	2012	2014	2	8
0.0013297872340425532	14	21	2012	2014	2	7
0.0006648936170212766	15	21	2012	2014	2	6
0.0	16	21	2012	2014	2	5
0.0	17	21	2012	2014	2	4
0.0	18	21	2012	2014	2	3
0.0	19	21	2012	2014	2	2
0.0	20	21	2012	2014	2	1
0.0	21	21	2012	2014	2	0
0.0	22	21	2012	2014	2	-1
0.0	23	21	2012	2014	2	-2
0.0	24	21	2012	2014	2	-3
0.0	25	21	2012	2014	2	-4
0.0	26	21	2012	2014	2	-5
0.0	27	21	2012	2014	2	-6
0.0	28	21	2012	2014	2	-7
0.0	29	21	2012	2014	2	-8
0.0016194331983805667	0	21	2013	2014	1	21
0.0016194331983805667	1	21	2013	2014	1	20
0.0008097165991902834	2	21	2013	2014	1	19
